comment_id,text,timestamp,source_url,text_raw,text_clean,word_count,english_word_count,has_english_word,is_strict_english,emoji_removed_text,tokens,tokens_no_stopwords,tokens_lemmatized,processed_text,is_relevant,relevance_score,relevance_reason,relevance_terms,is_sarcastic,raw_compound,raw_label,compound,pos,neu,neg,label,corrected_compound,corrected_label,local_correction_applied,local_correction_score,local_correction_terms,nrc_token_count,nrc_matched_token_count,nrc_base_anger,nrc_base_anticipation,nrc_base_fear,nrc_base_trust,nrc_base_sadness,nrc_base_hope,nrc_base_frustration,local_emotion_applied,local_emotion_terms,local_emotion_match_count,local_anger_score,local_fear_score,local_trust_score,local_hope_score,local_sadness_score,local_frustration_score,nrc_anger,nrc_anticipation,nrc_fear,nrc_trust,nrc_sadness,nrc_hope,nrc_frustration,naive_bayes_prediction,logistic_regression_prediction,svm_prediction,analysis_batch_id,analysis_timestamp
976862873282333,Lweendo Miyoba Namakobo my sister it's like saying 2+5=7 and 1+6=7....nchimwi biyo .....,2026-05-04T13:54:42.207107+00:00,https://www.facebook.com/100064560977290/posts/6124054071047970/,Lweendo Miyoba Namakobo my sister it's like saying 2+5=7 and 1+6=7....nchimwi biyo .....,lweendo miyoba namakobo my sister it s like saying 2 5 7 and 1 6 7 nchimwi biyo,18,,,,lweendo miyoba namakobo my sister it s like saying 2 5 7 and 1 6 7 nchimwi biyo,"['lweendo', 'miyoba', 'namakobo', 'my', 'sister', 'it', 's', 'like', 'saying', '2', '5', '7', 'and', '1', '6', '7', 'nchimwi', 'biyo']","['lweendo', 'miyoba', 'namakobo', 'sister', 's', 'like', 'saying', '2', '5', '7', '1', '6', '7', 'nchimwi', 'biyo']","['lweendo', 'miyoba', 'namakobo', 'sister', 's', 'like', 'saying', '2', '5', '7', '1', '6', '7', 'nchimwi', 'biyo']",lweendo miyoba namakobo sister s like saying 2 5 7 1 6 7 nchimwi biyo,False,0,no_energy_or_zesco_terms,,False,0.3612,positive,0.3612,0.172,0.828,0.0,positive,0.3612,positive,False,0.0,,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral,20260731T131008Z-568f92e6a00d,2026-07-31T13:10:09.211947+00:00
1393778251401137,Ati it’s increase to decrease 😝,2026-05-04T13:54:42.207138+00:00,https://www.facebook.com/100064560977290/posts/6124054071047970/,Ati it’s increase to decrease 😝,ati it’s increase to decrease 😝,6,,,,ati it’s increase to decrease,"['ati', 'it', 's', 'increase', 'to', 'decrease']","['ati', 's', 'increase', 'decrease']","['ati', 's', 'increase', 'decrease']",ati s increase decrease,False,0,no_energy_or_zesco_terms,,False,0.3182,positive,0.3182,0.365,0.635,0.0,positive,0.3182,positive,False,0.0,,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative,negative,negative,20260731T131008Z-568f92e6a00d,2026-07-31T13:10:09.211947+00:00
408819144761920,This is not the first time we are been load shedded in this country....i remember we were load shedded under PF for more than six months...load shedding has been here for less than one week and you are complaining already. buy solar or genset and stop complaining.,2026-05-04T13:54:42.207147+00:00,https://www.facebook.com/100064560977290/posts/6124054071047970/,This is not the first time we are been load shedded in this country....i remember we were load shedded under PF for more than six months...load shedding has been here for less than one week and you are complaining already. buy solar or genset and stop complaining.,this is not the first time we are been load shedded in this country i remember we were load shedded under pf for more than six months load shedding has been here for less than one week and you are complaining already buy solar or genset and stop complaining,49,,,,this is not the first time we are been load shedded in this country i remember we were load shedded under pf for more than six months load shedding has been here for less than one week and you are complaining already buy solar or genset and stop complaining,"['this', 'is', 'not', 'the', 'first', 'time', 'we', 'are', 'been', 'load', 'shedded', 'in', 'this', 'country', 'i', 'remember', 'we', 'were', 'load', 'shedded', 'under', 'pf', 'for', 'more', 'than', 'six', 'months', 'load', 'shedding', 'has', 'been', 'here', 'for', 'less', 'than', 'one', 'week', 'and', 'you', 'are', 'complaining', 'already', 'buy', 'solar', 'or', 'genset', 'and', 'stop', 'complaining']","['first', 'time', 'load', 'shedded', 'country', 'remember', 'load', 'shedded', 'under', 'pf', 'than', 'six', 'months', 'load', 'shedding', 'less', 'than', 'week', 'complaining', 'already', 'buy', 'solar', 'genset', 'stop', 'complaining']","['first', 'time', 'load', 'shedded', 'country', 'remember', 'load', 'shedded', 'under', 'pf', 'than', 'six', 'months', 'load', 'shedding', 'less', 'than', 'week', 'complaining', 'already', 'buy', 'solar', 'genset', 'stop', 'complaining']",first time load shedded country remember load shedded under pf than six months load shedding less than week complaining already buy solar genset stop complaining,True,10,matched_energy_terms,"genset,load shedding,solar",False,-0.5859,negative,-0.5859,0.0,0.884,0.116,negative,-0.5859,negative,False,0.0,,49,1,0.0,0.0204081632653061,0.0,0.0,0.0,0.0204081632653061,0.0,False,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204081632653061,0.0,0.0,0.0,0.0204081632653061,0.0,negative,negative,neutral,20260731T131008Z-568f92e6a00d,2026-07-31T13:10:09.211947+00:00
1361256761308377,Oh I remember the tactics they are using they call it reverse reduction meaning you increase by 200% then you reduce by 100%.,2026-05-04T13:54:42.207154+00:00,https://www.facebook.com/100064560977290/posts/6124054071047970/,Oh I remember the tactics they are using they call it reverse reduction meaning you increase by 200% then you reduce by 100%.,oh i remember the tactics they are using they call it reverse reduction meaning you increase by 200 then you reduce by 100,23,,,,oh i remember the tactics they are using they call it reverse reduction meaning you increase by 200 then you reduce by 100,"['oh', 'i', 'remember', 'the', 'tactics', 'they', 'are', 'using', 'they', 'call', 'it', 'reverse', 'reduction', 'meaning', 'you', 'increase', 'by', '200', 'then', 'you', 'reduce', 'by', '100']","['oh', 'remember', 'tactics', 'using', 'call', 'reverse', 'reduction', 'meaning', 'increase', '200', 'reduce', '100']","['oh', 'remember', 'tactics', 'using', 'call', 'reverse', 'reduction', 'meaning', 'increase', '200', 'reduce', '100']",oh remember tactics using call reverse reduction meaning increase 200 reduce 100,False,0,no_energy_or_zesco_terms,,False,0.3182,positive,0.3182,0.099,0.901,0.0,positive,0.3182,positive,False,0.0,,23,2,0.0,0.0,0.0434782608695652,0.0434782608695652,0.0,0.0,0.0,False,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782608695652,0.0434782608695652,0.0,0.0,0.0,neutral,neutral,neutral,20260731T131008Z-568f92e6a00d,2026-07-31T13:10:09.211947+00:00
1539253826550352,I remember the prophecy of Joshua ignla after he said  he's gonna win but he's not David but Saul,2026-05-04T13:54:42.207159+00:00,https://www.facebook.com/100064560977290/posts/6124054071047970/,I remember the prophecy of Joshua ignla after he said  he's gonna win but he's not David but Saul,i remember the prophecy of joshua ignla after he said he s gonna win but he s not david but saul,21,,,,i remember the prophecy of joshua ignla after he said he s gonna win but he s not david but saul,"['i', 'remember', 'the', 'prophecy', 'of', 'joshua', 'ignla', 'after', 'he', 'said', 'he', 's', 'gonna', 'win', 'but', 'he', 's', 'not', 'david', 'but', 'saul']","['remember', 'prophecy', 'joshua', 'ignla', 'said', 's', 'gonna', 'win', 's', 'david', 'saul']","['remember', 'prophecy', 'joshua', 'ignla', 'said', 's', 'gonna', 'win', 's', 'david', 'saul']",remember prophecy joshua ignla said s gonna win s david saul,False,1,no_energy_or_zesco_terms,said,False,0.34,positive,0.34,0.124,0.876,0.0,positive,0.34,positive,False,0.0,,19,1,0.0,0.0526315789473684,0.0,0.0,0.0,0.0526315789473684,0.0,False,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0526315789473684,0.0,negative,negative,negative,20260731T131008Z-568f92e6a00d,2026-07-31T13:10:09.211947+00:00
844750029934598,Mmmmm eya Mayo! So ati what have you done apapene! Anyway guys kuno ku Tee’s I’m even selling charcoal now so if you need malasha I’m available,2026-05-04T13:54:42.207165+00:00,https://www.facebook.com/100064560977290/posts/6124054071047970/,Mmmmm eya Mayo! So ati what have you done apapene! Anyway guys kuno ku Tee’s I’m even selling charcoal now so if you need malasha I’m available,mmmmm eya mayo so ati what have you done apapene anyway guys kuno ku tee’s i’m even selling charcoal now so if you need malasha i’m available,30,,,,mmmmm eya mayo so ati what have you done apapene anyway guys kuno ku tee’s i’m even selling charcoal now so if you need malasha i’m available,"['mmmmm', 'eya', 'mayo', 'so', 'ati', 'what', 'have', 'you', 'done', 'apapene', 'anyway', 'guys', 'kuno', 'ku', 'tee', 's', 'i', 'm', 'even', 'selling', 'charcoal', 'now', 'so', 'if', 'you', 'need', 'malasha', 'i', 'm', 'available']","['mmmmm', 'eya', 'mayo', 'ati', 'done', 'apapene', 'anyway', 'guys', 'kuno', 'ku', 'tee', 's', 'm', 'even', 'selling', 'charcoal', 'now', 'need', 'malasha', 'm', 'available']","['mmmmm', 'eya', 'mayo', 'ati', 'done', 'apapene', 'anyway', 'guys', 'kuno', 'ku', 'tee', 's', 'm', 'even', 'selling', 'charcoal', 'now', 'need', 'malasha', 'm', 'available']",mmmmm eya mayo ati done apapene anyway guys kuno ku tee s m even selling charcoal now need malasha m available,False,0,no_energy_or_zesco_terms,,False,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,kuno,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative,negative,negative,20260731T131008Z-568f92e6a00d,2026-07-31T13:10:09.211947+00:00
879154983427096,"THIS is UPND Time but remember 2026 they will be on our home ground begging for mercy,,. We are watching",2026-05-04T13:54:42.207170+00:00,https://www.facebook.com/100064560977290/posts/6124054071047970/,"THIS is UPND Time but remember 2026 they will be on our home ground begging for mercy,,. We are watching",this is upnd time but remember 2026 they will be on our home ground begging for mercy we are watching,20,,,,this is upnd time but remember 2026 they will be on our home ground begging for mercy we are watching,"['this', 'is', 'upnd', 'time', 'but', 'remember', '2026', 'they', 'will', 'be', 'on', 'our', 'home', 'ground', 'begging', 'for', 'mercy', 'we', 'are', 'watching']","['upnd', 'time', 'remember', '2026', 'home', 'ground', 'begging', 'mercy', 'watching']","['upnd', 'time', 'remember', '2026', 'home', 'ground', 'begging', 'mercy', 'watching']",upnd time remember 2026 home ground begging mercy watching,False,0,no_energy_or_zesco_terms,,False,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,,20,4,0.0,0.05,0.0,0.05,0.0,0.05,0.0,False,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.05,0.0,negative,positive,positive,20260731T131008Z-568f92e6a00d,2026-07-31T13:10:09.211947+00:00
1338452506889039,"Power went at 05:00 came back around 16:00, again went at 22:00, came back around 04:00, so apa I’m just working up kuma 07:00 yaya 😡😡. They’ll damage our properties!!",2026-05-04T13:54:42.207175+00:00,https://www.facebook.com/100064560977290/posts/6124054071047970/,"Power went at 05:00 came back around 16:00, again went at 22:00, came back around 04:00, so apa I’m just working up kuma 07:00 yaya 😡😡. They’ll damage our properties!!",power went at 05 00 came back around 16 00 again went at 22 00 came back around 04 00 so apa i’m just working up kuma 07 00 yaya 😡😡 they’ll damage our properties,36,,,,power went at 05 00 came back around 16 00 again went at 22 00 came back around 04 00 so apa i’m just working up kuma 07 00 yaya they’ll damage our properties,"['power', 'went', 'at', '05', '00', 'came', 'back', 'around', '16', '00', 'again', 'went', 'at', '22', '00', 'came', 'back', 'around', '04', '00', 'so', 'apa', 'i', 'm', 'just', 'working', 'up', 'kuma', '07', '00', 'yaya', 'they', 'll', 'damage', 'our', 'properties']","['power', 'went', '05', '00', 'came', 'back', 'around', '16', '00', 'went', '22', '00', 'came', 'back', 'around', '04', '00', 'apa', 'm', 'just', 'working', 'kuma', '07', '00', 'yaya', 'll', 'damage', 'properties']","['power', 'went', '05', '00', 'came', 'back', 'around', '16', '00', 'went', '22', '00', 'came', 'back', 'around', '04', '00', 'apa', 'm', 'just', 'working', 'kuma', '07', '00', 'yaya', 'll', 'damage', 'properties']",power went 05 00 came back around 16 00 went 22 00 came back around 04 00 apa m just working kuma 07 00 yaya ll damage properties,True,4,matched_energy_and_context_terms,"came,power",False,-0.5837,negative,-0.5837,0.0,0.885,0.115,negative,-0.5837,negative,False,0.0,,36,2,0.0277777777777777,0.0,0.0,0.0,0.0277777777777777,0.0,0.0277777777777777,False,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0277777777777777,0.0,0.0,0.0,0.0277777777777777,0.0,0.0277777777777777,negative,neutral,neutral,20260731T131008Z-568f92e6a00d,2026-07-31T13:10:09.211947+00:00
8497039393670777,"Nonsense, only those with limited reasoning will celebrate this , otherwise work done is equal to negative 0.",2026-05-04T13:54:42.207180+00:00,https://www.facebook.com/100064560977290/posts/6124054071047970/,"Nonsense, only those with limited reasoning will celebrate this , otherwise work done is equal to negative 0.",nonsense only those with limited reasoning will celebrate this otherwise work done is equal to negative 0,17,,,,nonsense only those with limited reasoning will celebrate this otherwise work done is equal to negative 0,"['nonsense', 'only', 'those', 'with', 'limited', 'reasoning', 'will', 'celebrate', 'this', 'otherwise', 'work', 'done', 'is', 'equal', 'to', 'negative', '0']","['nonsense', 'only', 'those', 'limited', 'reasoning', 'celebrate', 'otherwise', 'work', 'done', 'equal', 'negative', '0']","['nonsense', 'only', 'those', 'limited', 'reasoning', 'celebrate', 'otherwise', 'work', 'done', 'equal', 'negative', '0']",nonsense only those limited reasoning celebrate otherwise work done equal negative 0,False,0,no_energy_or_zesco_terms,,False,-0.5574,negative,-0.5574,0.148,0.52,0.332,negative,-0.5574,negative,False,0.0,,17,3,0.0588235294117647,0.0,0.0,0.0,0.1176470588235294,0.0,0.088235294117647,False,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.1176470588235294,0.0,0.088235294117647,negative,negative,negative,20260731T131008Z-568f92e6a00d,2026-07-31T13:10:09.211947+00:00
724725065639374,I went in a shop and asked for Chelsea jersey the salesman said I should come back when I'm serious.,2026-05-04T13:54:42.207185+00:00,https://www.facebook.com/100064560977290/posts/6124054071047970/,I went in a shop and asked for Chelsea jersey the salesman said I should come back when I'm serious.,i went in a shop and asked for chelsea jersey the salesman said i should come back when i m serious,21,,,,i went in a shop and asked for chelsea jersey the salesman said i should come back when i m serious,"['i', 'went', 'in', 'a', 'shop', 'and', 'asked', 'for', 'chelsea', 'jersey', 'the', 'salesman', 'said', 'i', 'should', 'come', 'back', 'when', 'i', 'm', 'serious']","['went', 'shop', 'asked', 'chelsea', 'jersey', 'salesman', 'said', 'should', 'come', 'back', 'm', 'serious']","['went', 'shop', 'asked', 'chelsea', 'jersey', 'salesman', 'said', 'should', 'come', 'back', 'm', 'serious']",went shop asked chelsea jersey salesman said should come back m serious,False,2,no_energy_or_zesco_terms,"come,said",False,-0.0772,negative,-0.0772,0.0,0.925,0.075,negative,-0.0772,negative,False,0.0,,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative,negative,negative,20260731T131008Z-568f92e6a00d,2026-07-31T13:10:09.211947+00:00
