comment_id,text,timestamp,source_url,text_clean,word_count,processed_text,is_sarcastic,raw_compound,raw_label,compound,pos,neu,neg,label,corrected_compound,corrected_label,local_correction_applied,local_correction_score,local_correction_terms,nrc_token_count,nrc_matched_token_count,nrc_anger,nrc_anticipation,nrc_fear,nrc_trust,nrc_sadness,nrc_hope,nrc_frustration,is_relevant,relevance_score,relevance_reason,relevance_terms
1628658844662216,Angela Baker exactly we are waiting,2026-05-04T14:01:35.261217+00:00,https://www.facebook.com/100057335174945/posts/1029321325655697/?app=fbl,angela baker exactly we are waiting,6,angela baker exactly waiting,False,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,no_energy_or_zesco_terms,
1628658844662216,Angela Baker exactly we are waiting,2026-05-04T14:01:35.261217+00:00,https://www.facebook.com/100057335174945/posts/1029321325655697/?app=fbl,angela baker exactly we are waiting,6,tri cia phiri bunch crooks,False,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,no_energy_or_zesco_terms,
1879945789176597,I can't understand anything apa 😂😂😂,2026-05-04T14:01:35.261229+00:00,https://www.facebook.com/100057335174945/posts/1029321325655697/?app=fbl,i can t understand anything apa 😂😂😂,6,t understand anything apa,False,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,no_energy_or_zesco_terms,
1568167390452068,Nipa wanu lelo pulizi,2026-05-04T14:01:35.261238+00:00,https://www.facebook.com/100057335174945/posts/1029321325655697/?app=fbl,nipa wanu lelo pulizi,4,nipa wanu lelo pulizi,False,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,no_energy_or_zesco_terms,
500176419600800,Not izo nkani zamukachaso imwe lelo nipa 1 weh!!,2026-05-04T14:01:35.261247+00:00,https://www.facebook.com/100057335174945/posts/1029321325655697/?app=fbl,not izo nkani zamukachaso imwe lelo nipa 1 weh,9,izo nkani zamukachaso imwe lelo nipa 1 weh,False,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,no_energy_or_zesco_terms,
1879945789176597,I can't understand anything apa 😂😂😂,2026-05-04T14:01:35.261229+00:00,https://www.facebook.com/100057335174945/posts/1029321325655697/?app=fbl,i can t understand anything apa 😂😂😂,6,ťĥë ĝřeàţ mŵå pė stress absolutely nothing understand even wrote post understand,False,-0.4215,negative,-0.4215,0.0,0.797,0.203,negative,-0.4215,negative,False,0.0,,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,no_energy_or_zesco_terms,
901235591912417,"I'm not rich but yesterday I donated my IPhone, smart watch, and wallet to a homeless guy. You can't imagine the happiness that I felt as I saw him putting the knife back in his pocket. 

KINDNESS IS EVERYTHING🤗",2026-05-04T14:01:35.261421+00:00,https://www.facebook.com/100057335174945/posts/1029321325655697/?app=fbl,i m not rich but yesterday i donated my iphone smart watch and wallet to a homeless guy you can t imagine the happiness that i felt as i saw him putting the knife back in his pocket kindness is everything🤗,41,m rich yesterday donated iphone smart watch wallet homeless guy t imagine happiness felt saw putting knife back pocket kindness everything,False,0.9169,positive,0.9169,0.462,0.538,0.0,positive,0.9169,positive,False,0.0,,21,4,0.0476190476190476,0.1428571428571428,0.0952380952380952,0.0,0.0476190476190476,0.1428571428571428,0.0476190476190476,False,0,no_energy_or_zesco_terms,
540973198303459,Lelo nipa 1 atibwanji tuja tunthu,2026-05-04T14:01:35.261476+00:00,https://www.facebook.com/100057335174945/posts/1029321325655697/?app=fbl,lelo nipa 1 atibwanji tuja tunthu,6,lelo nipa 1 atibwanji tuja tunthu,False,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,no_energy_or_zesco_terms,
1249250492878220,Give us the solars kaili,2026-05-04T14:01:35.261486+00:00,https://www.facebook.com/100057335174945/posts/1029321325655697/?app=fbl,give us the solars kaili,5,give us solars kaili,False,0.0,neutral,-0.2,0.0,1.0,0.0,negative,-0.2,negative,True,-0.2,kaili,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,no_energy_or_zesco_terms,
540973198303459,Lelo nipa 1 atibwanji tuja tunthu,2026-05-04T14:01:35.261476+00:00,https://www.facebook.com/100057335174945/posts/1029321325655697/?app=fbl,lelo nipa 1 atibwanji tuja tunthu,6,lamecky lj melchizedek tuja tuja tunthu mwanipanga,False,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,no_energy_or_zesco_terms,
